countries,credits,genres,id,imdb_score,imdb_votes,jw_rating,list_type,object_type,popularity_rank,runtime,title,tmdb_popularity,tmdb_score,year
US,,[{'shortName': 'doc'}],ts378603,8.4,4190,0.734167408625,WATCHLIST,SHOW,0,68,Turning Point: The Bomb and the Cold War,10.467,1,2024
US,"[{'role': 'ACTOR', 'name': 'Rain Spencer'}, {'role': 'ACTOR', 'name': 'Patrick Gibson'}, {'role': 'ACTOR', 'name': 'Andie MacDowell'}, {'role': 'ACTOR', 'name': ""Odessa A'zion""}, {'role': 'ACTOR', 'name': 'Olan Prenatt'}, {'role': 'ACTOR', 'name': 'Eloisa Huggins'}, {'role': 'ACTOR', 'name': 'Casey Adams'}, {'role': 'ACTOR', 'name': 'Rolando Boyce'}, {'role': 'ACTOR', 'name': 'Jessi Case'}, {'role': 'ACTOR', 'name': 'Diego Chiat'}, {'role': 'ACTOR', 'name': 'Briana Kennedy'}, {'role': 'ACTOR', 'name': 'Jules Lorenzo'}, {'role': 'ACTOR', 'name': 'Thomas Christopher Nieto'}, {'role': 'ACTOR', 'name': 'Oscar Pereida'}, {'role': 'ACTOR', 'name': 'Judy Kain'}, {'role': 'ACTOR', 'name': 'Fred Bernstein'}, {'role': 'ACTOR', 'name': 'Nina Bloomgarden'}, {'role': 'ACTOR', 'name': 'Shakewell'}, {'role': 'ACTOR', 'name': 'Sheldon Coolman'}, {'role': 'ACTOR', 'name': 'Gale Harold'}, {'role': 'ACTOR', 'name': 'Anyi Malik'}, {'role': 'ACTOR', 'name': 'Jennie Mintz'}, {'role': 'ACTOR', 'name': 'Ramya Pratt'}, {'role': 'ACTOR', 'name': 'Erika Ringor'}, {'role': 'ACTOR', 'name': 'Jordan Spoliansky'}, {'role': 'ACTOR', 'name': 'Heather Wynters'}, {'role': 'ACTOR', 'name': 'Cheska Zaide'}, {'role': 'DIRECTOR', 'name': 'Sarah Elizabeth Mintz'}]","[{'shortName': 'drm'}, {'shortName': 'crm'}]",tm1198232,7.7,57,,WATCHLIST,MOVIE,0,117,Good Girl Jane,10.491,6.5,2024
US,"[{'role': 'ACTOR', 'name': 'Shonda Rhimes'}, {'role': 'ACTOR', 'name': 'Virginia Watson'}, {'role': 'ACTOR', 'name': 'Barbara Sanon'}, {'role': 'ACTOR', 'name': 'Yolanda Hester'}, {'role': 'ACTOR', 'name': 'Julissa Calderon'}, {'role': 'ACTOR', 'name': 'Hayley Marie Norman'}, {'role': 'ACTOR', 'name': 'Gabourey Sidibe'}, {'role': 'ACTOR', 'name': 'Nick Jones Jr.'}, {'role': 'ACTOR', 'name': 'Mason Williams'}, {'role': 'ACTOR', 'name': 'Aydrea Walden'}, {'role': 'ACTOR', 'name': 'Misty Copeland'}, {'role': 'ACTOR', 'name': 'Maxine Waters'}]",[{'shortName': 'doc'}],tm1304282,5.9,572,0.179546109204,WATCHLIST,MOVIE,0,94,Black Barbie: A Documentary,27.108,6.143,2024
IN,"[{'role': 'ACTOR', 'name': 'Junaid Khan'}, {'role': 'ACTOR', 'name': 'Jaideep Ahlawat'}, {'role': 'ACTOR', 'name': 'Sharvari Wagh'}, {'role': 'ACTOR', 'name': 'Shalini Pandey'}, {'role': 'ACTOR', 'name': 'Jay Upadhyay'}, {'role': 'ACTOR', 'name': 'Viraf Patel'}, {'role': 'ACTOR', 'name': 'Priyal Gor'}, {'role': 'ACTOR', 'name': 'Sanjay Goradia'}, {'role': 'ACTOR', 'name': 'Sneha Desai'}, {'role': 'ACTOR', 'name': 'Dharmendra Gohil'}, {'role': 'ACTOR', 'name': 'Meher Vij'}, {'role': 'ACTOR', 'name': 'Kamlesh Oza'}, {'role': 'ACTOR', 'name': 'Jamie Alter'}, {'role': 'ACTOR', 'name': 'Mark Bennington'}, {'role': 'ACTOR', 'name': 'Edward Sonnenblick'}, {'role': 'ACTOR', 'name': 'Francisco Raymond'}, {'role': 'ACTOR', 'name': 'Sunil Gupta'}, {'role': 'DIRECTOR', 'name': 'Siddharth P. Malhotra'}]","[{'shortName': 'drm'}, {'shortName': 'hst'}, {'shortName': 'trl'}, {'shortName': 'crm'}]",tm1447344,6.6,12980,0.463658273262,WATCHLIST,MOVIE,0,132,Maharaj,20.063,6.5,2024
MX,"[{'role': 'ACTOR', 'name': 'Irene Azuela'}, {'role': 'ACTOR', 'name': 'Mauricio Ochmann'}, {'role': 'ACTOR', 'name': 'Leonardo Ortizgris'}, {'role': 'ACTOR', 'name': 'Isabella Arroyo'}, {'role': 'ACTOR', 'name': 'Yoshira Escárrega'}, {'role': 'ACTOR', 'name': 'Sofía Álvarez'}, {'role': 'DIRECTOR', 'name': 'Alba Gil'}, {'role': 'DIRECTOR', 'name': 'Emma Bertrán'}]","[{'shortName': 'trl'}, {'shortName': 'drm'}]",tm1534050,4.8,429,0.354592310437,WATCHLIST,MOVIE,0,82,The Diary,100.799,6,2024
"CA,US","[{'role': 'ACTOR', 'name': 'Cush Jumbo'}, {'role': 'ACTOR', 'name': 'Manny Jacinto'}, {'role': 'ACTOR', 'name': 'James Badge Dale'}, {'role': 'ACTOR', 'name': 'Christin Park'}, {'role': 'ACTOR', 'name': 'Luke Bilyk'}, {'role': 'ACTOR', 'name': 'Heather Doerksen'}, {'role': 'ACTOR', 'name': 'Stephen Lobo'}, {'role': 'ACTOR', 'name': 'Claude Knowlton'}, {'role': 'ACTOR', 'name': 'Lori Triolo'}, {'role': 'ACTOR', 'name': 'Jason William Day'}, {'role': 'ACTOR', 'name': 'Johnson Phan'}, {'role': 'ACTOR', 'name': 'Annette Reilly'}, {'role': 'ACTOR', 'name': 'Sharon Crandall'}, {'role': 'ACTOR', 'name': 'Michele Goyns'}, {'role': 'ACTOR', 'name': 'Paul Almeida'}, {'role': 'ACTOR', 'name': 'Jeff Gladstone'}, {'role': 'ACTOR', 'name': 'Natalie Farrow'}, {'role': 'ACTOR', 'name': 'Michael A. Cheng'}, {'role': 'ACTOR', 'name': 'Hannah Duke'}, {'role': 'ACTOR', 'name': 'Marie Marolle'}, {'role': 'ACTOR', 'name': 'Matteo Friend'}, {'role': 'ACTOR', 'name': ""Lori O'Connell""}, {'role': 'ACTOR', 'name': 'Uri Burstyn'}, {'role': 'DIRECTOR', 'name': 'Nicole Dorsey'}]","[{'shortName': 'trl'}, {'shortName': 'drm'}, {'shortName': 'scf'}, {'shortName': 'fnt'}, {'shortName': 'spt'}]",tm911596,5,298,,WATCHLIST,MOVIE,0,145,Balestra,16.15,7,2024
IN,"[{'role': 'ACTOR', 'name': 'Ajay Devgn'}, {'role': 'ACTOR', 'name': 'R. Madhavan'}, {'role': 'ACTOR', 'name': 'Janki Bodiwala'}, {'role': 'ACTOR', 'name': 'Jyothika'}, {'role': 'ACTOR', 'name': 'Anngad Raaj'}, {'role': 'DIRECTOR', 'name': 'Vikas Bahl'}]","[{'shortName': 'trl'}, {'shortName': 'hrr'}, {'shortName': 'drm'}]",tm1422528,6.6,50669,0.525701390732,WATCHLIST,MOVIE,0,132,Shaitaan,10.535,6,2024
US,"[{'role': 'ACTOR', 'name': 'Hiroyuki Sanada'}, {'role': 'ACTOR', 'name': 'Cosmo Jarvis'}, {'role': 'ACTOR', 'name': 'Anna Sawai'}, {'role': 'ACTOR', 'name': 'Tadanobu Asano'}, {'role': 'ACTOR', 'name': 'Takehiro Hira'}, {'role': 'ACTOR', 'name': 'Tommy Bastow'}, {'role': 'ACTOR', 'name': 'Fumi Nikaido'}]","[{'shortName': 'drm'}, {'shortName': 'war'}, {'shortName': 'hst'}]",ts416258,8.6,181404,0.937030853312,WATCHLIST,SHOW,0,59,Shōgun,220.909,8.538,2024
IN,"[{'role': 'ACTOR', 'name': 'Dheekshith Shetty'}, {'role': 'ACTOR', 'name': 'Chaithra Achar'}, {'role': 'ACTOR', 'name': 'Gopalkrishna Deshpande'}]","[{'shortName': 'scf'}, {'shortName': 'msc'}, {'shortName': 'trl'}]",tm1425927,7.5,979,,WATCHLIST,MOVIE,0,136,Blink,1.847,1,2024
"US,GB,TR","[{'role': 'ACTOR', 'name': 'Henry Cavill'}, {'role': 'ACTOR', 'name': 'Eiza González'}, {'role': 'ACTOR', 'name': 'Alan Ritchson'}, {'role': 'ACTOR', 'name': 'Henry Golding'}, {'role': 'ACTOR', 'name': 'Cary Elwes'}, {'role': 'ACTOR', 'name': 'Alex Pettyfer'}, {'role': 'ACTOR', 'name': 'Hero Fiennes Tiffin'}, {'role': 'ACTOR', 'name': 'Babs Olusanmokun'}, {'role': 'ACTOR', 'name': 'Henry Zaga'}, {'role': 'ACTOR', 'name': 'Til Schweiger'}, {'role': 'ACTOR', 'name': 'Freddie Fox'}, {'role': 'ACTOR', 'name': 'Rory Kinnear'}, {'role': 'ACTOR', 'name': 'Danny Sapani'}, {'role': 'ACTOR', 'name': 'James Wilby'}, {'role': 'ACTOR', 'name': 'Matthew Hawksley'}, {'role': 'ACTOR', 'name': 'Simon Paisley Day'}, {'role': 'ACTOR', 'name': 'Mark Oosterveen'}, {'role': 'ACTOR', 'name': 'Victor Oshin'}, {'role': 'ACTOR', 'name': 'Alessandro Babalola'}, {'role': 'ACTOR', 'name': 'Tim Seyfi'}, {'role': 'ACTOR', 'name': 'George Asprey'}, {'role': 'ACTOR', 'name': 'Paul Antony-Barber'}, {'role': 'ACTOR', 'name': 'Bikiya Graham Douglas'}, {'role': 'ACTOR', 'name': 'Mert Kılıç'}, {'role': 'ACTOR', 'name': 'Nail Abdrakhmanov'}, {'role': 'ACTOR', 'name': 'Mert Dincer'}, {'role': 'ACTOR', 'name': 'Adem Yılmaz'}, {'role': 'ACTOR', 'name': 'Russell Balogh'}, {'role': 'ACTOR', 'name': 'Jonathan Keeble'}, {'role': 'DIRECTOR', 'name': 'Guy Ritchie'}]","[{'shortName': 'act'}, {'shortName': 'cmy'}, {'shortName': 'war'}]",tm1314959,6.8,107606,0.914242065968,WATCHLIST,MOVIE,57,122,The Ministry of Ungentlemanly Warfare,185.019,7.1,2024
